Clave,Nombre,Tipo,RUC,Nombre Corto,Clave,Correo electronico,Correo electronico 2
00218,THE SUN TANNING PANAMA S A,Cliente,155629791-2-2016,MR.LIMON / MS.POLLO,00218,JDERAUCOURT@MRLIMON.ORG,
00219,"SAMENSIL, S.A.",Cliente,1648062-1-674940,ZAXY,00219,bentolila02@hotmail.com,sebaini@gmail.com
00220,"SAINT HONORE PANAMA, S.A.",Cliente,829408-1-501623,MAC COSMETICS,00220,Janneth.torres@sthonore.com.pa,kenay.martinez@sthonore.com.pa
00221,MODANIO CORPORATION,Cliente,155632854-2-2016,FIFI,00221,info@fifikidsconceptstore.com,fifikidspty@gmail.com
00222,INSTALACIONES Y SERVICIOS MACOPA S.A.,Otras,155622065-2-2016,,00222,,
00223,"WORLDWIDE MARKETING MW 2018,S.A",Cliente,155660698-2-2018,PANINI,00223,pegranport@gmail.com,
00224,FEDERACION PANAME„A DE GIMNASIA,Otras,000000000000,FPG,00224,presidencia@fpgimnasia.org,cherrera@fpgimnasia.org
00225,"SHOP TOP,  S.A.",Cliente,2054298-1-748533,SHOP TOP,00225,,
00226,CONSTRUCCIONES HOSPITALARIAS S A,Cliente,2076345-1-752388,,00226,,
00227,YELLOW CAR S.A.,Cliente,1656080-1-676646,YELLOW CAR S.A.,00227,info@yellowcartaxi.com,
00228,"RODELAG, S.A.",Cliente,204-394-49730,AUDIO FOTO,00228,auxiliar.conta1@rodelag.com,
00229,"XIAOMI MI STORE PANAMA, S.A.",Cliente,155666686-2-2018,MI STORE,00229,lfernandez@xiaomistorepanama.com,miadmin@xiaomistorepanama.com
00230,THE BANK OF NOVA SCOTIA - (PANAMA),Cliente,1031-503-116426,THE BANK OF NOVA SCO,00230,nancy.hurtado@pa.scotiabank.com,
00231,DIGICEL ( PANAMA ) S A,Cliente,985987-1-533212,DIGICEL,00231,argelis.pinilla@digicelgroup.com,
00232,"TOP MEDIA PANAMA, S.A.",Cliente,65089-85-359991,TOP MEDIA PANAMA,00232,Briceida.Caballero@jcdecaux.com,
00233,BIGEL CORP.,Cliente,155604229-2-2015,CLINICA DE ORTODONCI,00233,laragiraldez@gmail.com,clinicadeortodonciaaltaplaza@gmail.com
00234,"ZEGNALETTI , S.A.",Cliente,2670316-1-843570,CLARKS,00234,admon@zegna-hg.com,
00235,"RISTORANTE PASTISSIMA, S. A.",Cliente,155662468-2-2018,PASTISSIMA,00235,info@renato.com.pa,info@renato.com.pa
00236,XIMI VOGUE ALTA PLAZA S.A.,Cliente,155669955-2-2018,XIMI VOGUE,00236,Marilynf.19@hotmail.com,administracion@ximipanama.com
00237,"ADVANCE MOTORS, S. A.",Cliente,513-162-111505,Renault,00237,jsolis@petroautos.com,
00238,"GMG RETAIL, S. A.",Cliente,2676116-1-844443,Depi Express,00238,hmark27@gmail.com,
00239,"DEVA MASSAGE, S. A.",Cliente,155670989-2-2018,DEVA MASSAGE,00239,luis.lassoq@gmail.com,
00240,"FRIDAMA PANAMA, S. A.",Cliente,2336282-1-795550,FRIDAMA,00240,cristal.mejias@fridama.com,
00241,"LEVYCOH, S. A.",Cliente,1422657-1-632255,JOHNNY COTTON/SANTêS,00241,luis@hilcopanama.com,contabilidad@cottonstorepma.com
00243,"TU PARADA INC,",Cliente,155674489-2-2019,TU PARADA,00243,sandyabadi95@gmail.com,'luisricou13@gmail.com'
00244,"HIBACHI GROUP, S. A.",Cliente,15565302-2-2019,DASSAI,00244,Luispan123@gmail.com,Hibachigroupsa@gmail.com
00245,"ALVAN INVESTMENTS 2201, S. A.",Cliente,155628368-2-2016,D' U„AS,00245,alvaninvestments2201@outlook.com,allievaldes@gmail.com
00246,"DIGITALSTOREPTY.COM, S.A.",Cliente,155670320-2-2018,II BELLO STORE,00246,info@ilbellostore.com,info@tantea24.com
00247,"ALIMENTOS SC ALTAPLAZA, S.A.",Cliente,155672922-2-2018,SALON CANTON,00247,saloncanton@yahoo.com,verowong@gmail.com
00248,"FDE, CORP",Cliente,155678752-2-2019,NERO AROMA,00248,gbuild1@gmail.com,
00249,NORKINAS PANAMA S.A.,Cliente,155678950-2-2019,NORKINAS,00249,diana@norkinas.com,
00250,"BERG LATINOAMERICA, S.A.",Cliente,155661945-2-2018,BERG,00250,fprudencio@bergcentroamerica.com,
00251,"EURO BOUTIQUES, INC",Cliente,30261-1-368066,MONT BLANC,00251,m.howard@motta-int.com,m.cedeno@motta-int.com
00252,"COMIDAS RAPIDAS INTERNACIONALES, S.A.",Cliente,433157-1-429089,LA ESTANCIA,00252,jgonzalez@crisapma.com,
00253,NOVARREN ENTERPRISES,Cliente,2579224-1-830726,ASTRE,00253,,
00254,LUXOR SKY,Cliente,2584825-1-831537,Gaudi,00254,,
00255,MELLOW SPRING,Cliente,155596149-2-2015,Athas,00255,,
00256,"GRUPO INDEX, S.A.",Cliente,1276195-1-599325,CARNIVORA AND HVAR,00256,admin@gipanama.com,jeikopk@gmail.com
00257,THE MARKETING STORE S.A.,Cliente,108124-1-379607,MR. LIMON,00257,operaciones@mrlimon.com,domingo.barrios@outsourcingmarketinggroup.com
00258,"FURNITURE CITY, S.A.",Cliente,1968567-1-734899,ASHLEY,00258,contabilidad@gspanama.com,laguilar@gspanama.com
00259,VIA VAI FASHION CORP,Cliente,2034343-1-745423,SOCIETY BEAUTY CLUB,00259,nicolegimal@gmail.com,
00260,EN POSITIVO CORP,Cliente,2189951-1-771715,CARNIVORA AND HVAR,00260,admin@gipanama.com,jeikopk@gmail.com
00261,HOB MANAGEMENT S A,Cliente,2138875-1-763364,HOME OF BRANDS,00261,elad@homeofbrands.net,administracion@homeofbrands.net
00262,HOB CAROLINA S.A.,Cliente,155669484-2-2018,CAROLINA LEMKE,00262,administracion@homeofbrands.net,elad@homeofbrands.net
00263,Rudimentaria Brewing Co,Otras,8-844-1890,Cervecer’a Rudimenta,00263,,
00264,INVERSIONES KING TECH CORPORATION S A,Cliente,155683576-2-2019,KING TECH,00264,kingtechpty@gmail.com,
00265,YAYO ELECTRONICS,Cliente,2009629-1-741594,LIKE NEW,00265,admongrupocpy@gmail.com,miguelespildora2@gmail.com
00266,"SKIN LASER CENTER, S.A.",Cliente,155678361-2-2019,SKIN LASER,00266,jdcastillero@skinlaserpa.com,contabilidad@skinlaserpa.com
00267,GAVIRELI INC,Cliente,2454288-1-812694,NOWE SNEAKER COMPANY,00267,,miguel@gavireli.com
00268,"BARBQ, S. A.",Cliente,155685502-2-2019,BARBQ,00268,marcosarebonattolr@gmail.com,
00269,ALTAPLAZA KAIFISH INC,Cliente,155685467-2-2019,Kaifish/JuanaTranqui,00269,salobchocron@gmail.com,salomonchocrone@gmail.com
00270,"ALITAS Y CERVEZAS PANAMA, S.A.",Cliente,155597764-2-2015,WINGS ARMY,00270,wingsarmypanama@gmail.com,
00271,"K BREAD & DRINK, S.A.",Cliente,155681898-2-2019,MISAWA,00271,ijurado@groupnhs.com,alfonsochong@unicrese.com
00272,"FIBU DISTRIBUIDORA, S. A.",Cliente,155676202-2-2019,FOM PANAMA,00272,GABRIELA@FOM.COM.PA,RODRIGO@FOM.COM.PA
00273,"TRS GRUPO, INC.",Cliente,155626438-2-2016,GOLD ELEMENTS,00273,chris@taiebgroup.com,adorepanama@gmail.com
00274,"MINI BF PANAMç, S.A.",Cliente,390-247-84722,MINISO,00274,proveedoresminibf@miniso.pa,
00275,"INTERNATIONAL MEAL COMPANY F&B, S.A.",Cliente,1967436-1-734718,CARL«S JR,00275,mbethancourt@carlsjunior.com.pa,jconte@carlsjunior.com.pa
00276,"INVERSIONES PERCE, S.A.",Cliente,155687451-2-2019,BENDITO ARROZ,00276,panama@benditoarroz.com,
00277,"TSALACH, S.A.",Cliente,155635191-2-2016,Moli Market,00277,molidelimarket@gmail.com,
00278,"SORAILE, S.A",Cliente,155690279-2-2020,WAYAN,00278,leydelises@gmail.com,sorailewayan@gmail.com
00279,"ONTARIO COFFEE PANAMA, S.A",Cliente,155623139-2-2016,NESPRESSO,00279,jrincon@grupodavissa.com,melissa@macstore.com.pa
00280,"GRAND INCENTIVES PANAMç, INC",Cliente,2249644-1-781267,DREAM MEXICO,00280,serviciopanama@grandincentives.com,jonathang-30@gmail.com
00281,NCG CLIMA PANAMç SA,Cliente,2503706-1-8194,NCG CLIMA PANAMç,00281,monchojrcb@yahoo.es,
00282,"PERLE GRUPO COMERCIAL, S.A",Cliente,155699230-2-2020,POP UP,00282,anamariabotero10@gmail.com,perlepty@gmail.com
00283,"INMOBILIARIA DON ANTONIO, S.A",Cliente,541-81-118009,FARMACIA METRO PLUS,00283,jmarin@smrey.com,gergonzalez@smrey.com
00284,"SOCIETY ALTA PLAZA, S.A.",Cliente,155685514-2-2019,GRAFF JOYEROS,00284,nicolegimal@gmail.com,raquelgimal@gmail.com
00285,ALEXANDER OLARTE PINILLA,Cliente,E-8-139405,AQUA GROUP,00285,alolarte@hotmail.com,
00286,"VPP, S.A",Cliente,155652016-2-2017,VISUAL POINT,00286,visualpointpanama@gmail.com,
00287,"The Coffee Shop 70, S.A",Cliente,155673219-2-2018,THE COFFEE SHOP,00287,Gonsaenz@cwpanama.net,thecoffeeshop70@gmail.com
00288,"GRUPO TODO A DOLAR, S.A",Cliente,682073-1-464676,TAD,00288,operaciones@grupotodoadollar.com,gcontabilidad@grupotodoadollar.com
00289,"5INCO ALTAPLAZA, S.A",Cliente,155706097-2-2021,5INCO,00289,roberto.richa@5incopanama.com,luis.davila@5incopanama.com
00290,"DISTRIBUIDORA DK, S.A",Cliente,2081325-1-753264,BODY SLIM,00290,erodriguez30877@hotmail.com,
00291,PLAY GROUND INVESTMENT CORP,Cliente,155709914-2-2021,SAND PARK,00291,playgroundinv@outlook.com,info@sandparkpty.com
00292,"HOSPITALIDAD BALU, SA",Cliente,155708182-2-2021,NEUTRO KITCHEN BAR,00292,ernesto3dots@gmail.com,neutrogerencia@gmail.com
00293,"ELGEOS, S.A",Cliente,155624749-2-2016,BARBMAN,00293,marlene.valdes@pdgsa.com,
00294,TASTY ONE CORP.,Cliente,155704398-2-2021,TASTY,00294,tsu.beltrantrejo@gmail.com,almahdimorrisquet@gmail.com
00295,ORBEX CORPORATION,Cliente,155608799-2-2015,ESCAPE ROOM,00295,orbexcorp@gmail.com,
00296,"VARIOS PISOS GROUP, S.A",Cliente,155714087-2-2021,3ER PISO,00296,reggitopty@gmail.com,
00297,"CREATIVE POINT, INC",Cliente,155690640-2-2020,HAPPY SOCKS,00297,aaron@hazak.shop,
00298,"ALIMENTOS Y SERVICIOS FRITOS, S.A",Cliente,155682722-2-2019,POPEYES,00298,facturas-Pagos@grupovierci.com.pa,
00299,"DESARROLLOS RETAILS, S.A",Cliente,155708474-2-2021,TUPPERWARE,00299,rolando@fiestaguatemala.com,alejandro.guzman@fiestaguatemala.com
00300,"CENTRAL AMERICA HEALTH, INC",Cliente,155683831-2-2019,CLINILAB,00300,administracion@clinilabpanama.com,
00301,CAROLINEE MITZEL ORTEGA GIL,Cliente,8-913-919,OM RELAX EXPRESS,00301,carol.1893.ko@gmail.com,
00302,"THE TEDDY FITNESS SHOW, S.A",Cliente,155684147-2-2019 ,LITTLE STEPS,00302,,
00303,"A5 FOOD INVESTMENT, S.A",Cliente,155704381-2-2021,MR. AREPA,00303,estefaniaalleyne@gmail.com,Josue.ortizlasso@gmail.com
00304,"CREMAS HELADAS PANAMA, S.A",Cliente,155644164-2-2017,FREDDO,00304,leotuccio@yahoo.com.ar,
00305,"LA IMPORTADORA SELECTA, S.A.",Cliente,743-444-139841,SELECTA,00305,contabilidad@gspanama.com,macuna@selectaonline.com
00306,FILISHOP PANAMA CORP.,Cliente,155717086-2-2022,FILISHOP,00306,filishopadm@gmail.com,eliioday94@gmail.com
00307,"CELLULAR PACIFIC, S.A.",Cliente,1152177-1-571972,I LOVE MY PHONE,00307,admongrupocpy@gmail.com,miguelespildora2@gmail.com
00308,"MULTIFOOD ENTERPRISES ALTAPLAZA, S.A.",Cliente, 155716666-2-2021 ,OLIVE GARDEN,00308,rafael@mfenterprises.net,hector@mfenterprises.net
00309,"INVERSIONES R & F, S.A.",Cliente,2657772-1-841691 ,XING FU TANG,00309,felix_cheung_ts@hotmail.com,
00310,"FANTACC, S.A.",Cliente,155610404-2-2015 ,CLAIRE«S,00310,i.saleh@hsscapital.com,f.espinosa@hsscapital.com
00311,"GRUPO GOLD WATER PTY, S.A.",Cliente,155719748-2-2022,WING ZONE,00311,wzoperaciones@gmail.com,cxpcentennial@gmail.com
00312,MELISSA CECILIA DIAZ MOLINA,Cliente,8-368-430,COSAS LINDAS,00312,melissa@cosas-lindas.com,
00313,"IX COMERCIO RT, S.A.",Cliente,2493494-1-817935,CROCS,00313,cpaproveedores@ixcomercio.com,Carolina.gordon@ixcomercio.com
00314,"SOCIETY BEAUTY CLUB, S.A.",Cliente,155678682-2-2019,SOCIETY BEAUTY CLUB,00314,glendamartinelli@gmail.com,nicolegimal@gmail.com
00315,"BARCENAS GROUP INTERNATIONAL, INC.",Cliente,155607822-2-2015,KRISPY KREME,00315,gerardo.tami@krispykremepanama.com,contador@krispykremepanama.com
00316,CAROLINA IBETH BEDOYA CAJIAO,Cliente,E-8-133191 ,AQUA CAR WASH,00316,aquagroup.pty@gmail.com,
00317,"PROKARTING, CORP",Cliente,155726484-2-2022,SUPER KARTS,00317,juan.duque@superkarts.com.co,
00318,BOWLAND GROUP PANAMA S.A.,Cliente,155727763-2-2022 ,BOWLAND,00318,mariorojas26@hotmail.com,carovsanchez@hotmail.com
00320,"EL MERCAITO, S.A.",Cliente,155726572-2-2022,MERCAITO,00320,cheffranciscocastro@me.com,
00321,"TEC MOBELT, S.A.",Cliente,155666314 - 2 - 2018,RAPTORS RESTAURANTE,00321,raptorspanama@gmail.com,raptorsgerencia@gmail.com
00322,YUDIMAR PASTORA MUJICA SIVIRA,Cliente,E-8-155936,QUE DULCITO PANAMç,00322,yudimarm@gmail.com,mujicasivira@gmail.com
00323,SOLUCIONES VENDING S.A.,Cliente,155637317-2-2016,THE VENDING REVOLUTI,00323,ventas1@gdenis.com,
00324,"CT INVESTMENT GROUP, S.A.",Cliente,1864092-1-715862,OCIO BABY & KIDS,00324,cobros@ocio.com.pa,
00325,"EMPRESAS CARBONE, S.A.",Cliente,1080323-1-554308,CARBONE,00325,ricardo@carbone.com.pa,contabilidad@carbone.com.pa
00326,"D' EMOCIONES, S.A.",Cliente,155699740-2-2020,VINTRO DESIGN STORE,00326,vintropanama@gmail.com,
00327,"GRETCO, INC",Cliente,155651292-2017-2017,NOWE SNEAKERS,00327,miguel@gretcoinc.com,
A0002,"FEC AltaPlaza, S. A.",Afiliadas,155596428-2-2015,Crazy P./ Tren/ Play,A0002,compras@crazyparkpanama.com,pmelendez@crazyparkpanama.com
PH00000,Cliente Contado,Cliente,000,,PH00000,,
PH00001,"Retail Network, Inc",Cliente,2243885-1-780233,Bershka,PH00001,facturacion.electronica@retailnetwork.com.pa,
PH00002,"International Collaborations, Inc",Cliente,2243930-1-780245,Stradivarius,PH00002,clarisseth.vergara@kappa.com.pa,
PH00003,"United Retail, Inc.",Cliente,2243988-1-780265,PULL & BEAR,PH00003,,
PH00004,"Interamerican Sports, S. A.",Cliente,2243982-1-780264,OYSHO,PH00004,reynaldo.espinosa@kappa.com.pa,facturacion.electronica@interamerican.com.pa
PH00005,RETAIL MODA S.A.,Cliente,155668678-2-2018,ZARA,PH00005,reynaldo.espinosa@kappa.com.pa,facturacion.electronica@retailmoda.com.pa
PH00006,"SISTEMAS MCOPCO PANAMA, S.A.",Cliente,557-538-101617,MC DONALD«S,PH00006,jesus.arias@pa.mcd.com,iris.dominguez@pa.mcd.com
PH00007,"TELCO SERVICES, S.A.",Cliente,2643922-1-839862,TELCO SERVICES,PH00007,lmaduro@telcoservicespty.com,mverastegui@telcoservicespty.com
PH00008,"AREIA BY PANAMA, S.A.",Cliente,155594879-2-2015,MAR DE PELOTAS,PH00008,,
PH00009,CONSTRUCTORA NORBERTO ODEBRECHT S A,Cliente,693864-1-1196,,PH00009,raescala@odebrecht.com,aalarcon@nuevocolon.com
PH00010,FEDERACION PANAME„A DE GIMNASIA,Cliente,25030361-3-2016,FPG,PH00010,presidencia@fpgimnasia.org,cherrera@fpgimnasia.org
PH00011,AES LATIN AMERICAN S. DE R.L,Cliente,1237082-1-875,AES LATIN AMERICAN,PH00011,cxppanama@aes.com,manpower.nvalladar.c@aes.com
